name_norm,display_name,n_books,n_entries,source_types,books,pages
عبيد الله بن عبد المجيد ابو علي الحنفي,عبيد الله بن عبد المجيد أبو علي الحنفي,3,3,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; duafa_uqayli; kashif_dhahabi,kashif_dhahabi:ج1/ص683 | duafa_uqayli:ج3/ص123
ابو بكر بن عبد الله بن ابي مريم,أبو بكر بن عبد الله بن أبي مريم,3,3,biography/ṭabaqāt; general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص472
سلم بن ميمون الخواص,سلم بن ميمون الخواص,3,3,biography; jarḥ (ḍuʿafāʾ),duafa_uqayli; mughni_duafa_dhahabi; siyar_dhahabi,siyar_dhahabi:ج8/ص179 | duafa_uqayli:ج2/ص165
عبد الله بن بريده بن الحصيب الاسلمي,عبد الله بن بريدة بن الحصيب الأسلمي,3,3,biography; biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; siyar_dhahabi; tabaqat_ibnsad,siyar_dhahabi:ج5/ص50 | tabaqat_ibnsad:ج9/ص220
عبد الله بن عمرو,عبد الله بن عمرو,2,9,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص151 | tabaqat_ibnsad:ج2/ص321 | tabaqat_ibnsad:ج3/ص572 | tabaqat_ibnsad:ج4/ص369 | tabaqat_ibnsad:ج6/ص104 | tabaqat_ibnsad:ج7/ص67 | tabaqat_ibnsad:ج7/ص397 | tabaqat_ibnsad:ج8/ص43
عبد الله بن قيس,عبد الله بن قيس,2,7,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج3/ص459 | tabaqat_ibnsad:ج4/ص328 | tabaqat_ibnsad:ج6/ص43 | tabaqat_ibnsad:ج7/ص236
عبد الله بن محمد,عبد الله بن محمد,2,7,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص186 | tabaqat_ibnsad:ج7/ص193 | tabaqat_ibnsad:ج7/ص193 | tabaqat_ibnsad:ج7/ص321 | tabaqat_ibnsad:ج7/ص481 | tabaqat_ibnsad:ج7/ص613
عبد الله بن عبد الله,عبد الله بن عبد الله,2,6,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج3/ص500 | tabaqat_ibnsad:ج7/ص200 | tabaqat_ibnsad:ج7/ص311 | tabaqat_ibnsad:ج7/ص494
عبد الرحمن بن محمد,عبد الرحمن بن محمد,2,6,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,lisan_mizan_ibnhajar:ج5/ص126 | tabaqat_ibnsad:ج7/ص585
عبد العزيز بن عبد الله,عبد العزيز بن عبد الله,2,5,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص456 | tabaqat_ibnsad:ج7/ص593 | tabaqat_ibnsad:ج7/ص617 | tabaqat_ibnsad:ج9/ص325
